City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,4,"Kokapet, Outer Ring Road Hyderabad",2.3 Lac,5030 sqft,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors/Family,Immediately
Hyderabad,1,"Kondapur, Hyderabad",24000,450 sqft,Flat,Furnished,East,"Garden/Park, Main Road",1,1,Bachelors/Family,Immediately
Hyderabad,1,"Kondapur, Hyderabad",15500,800 sqft,Flat,Semi-Furnished,North,Main Road,1,1,Bachelors,Immediately
Hyderabad,2,"Prestige Ivy League, Hitech City, Hyderabad",58000,1355 sqft,Flat,Semi-Furnished,West,Garden/Park,2,1,,
Hyderabad,1,"Raghavendra Colony, Kondapur, Hyderabad",24000,450 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,"SMR Vinay Iconia, Kondapur, Hyderabad",60000,1805 sqft,Flat,Unfurnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",85000,2124 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,"Rajapushpa Provincia, Kokapet, Outer Ring Road, Hyderabad",70000,2020 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Hyderabad,4,"Prestige High Fields, Gachibowli, Hyderabad",1.1 Lac,2729 sqft,Flat,Furnished,East,"Pool, Garden/Park, Main Road",5,3,Bachelors,From Mar '26
Hyderabad,3,"Greenmark Mayfair Apartments, Tellapur, Outer Ring Road, Hyderabad",66000,1860 sqft,Flat,Semi-Furnished,North - East,Garden/Park,3,,Bachelors/Family,Immediately
Hyderabad,3,Secunderabad Hyderabad,80000,3200 sqft,House,Unfurnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Jayabheri The Nirvana, Gachibowli, Hyderabad",85000,2190 sqft,Flat,Unfurnished,East,,3,2,Family,Immediately
Hyderabad,2,"Mallampet, Outer Ring Road Hyderabad",15000,1300 sqft,Villa,Semi-Furnished,East,Main Road,2,,Bachelors/Family,Immediately
